id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37004825,Historic Downtown 2 Floor Loft w Exposed Brick,31943354,Christina,,Waterfront Communities-The Island,43.64737,-79.39293,Entire home/apt,254,1,5,2020-03-04,0.55,1,336
37004843,Walk to subway* condo* female only* small room*,122938941,Julie,,Willowdale East,43.76542,-79.40957,Private room,42,1,4,2019-10-26,0.42,1,0
37005337,1 bedroom condo with designated parking for rent,278213822,Susan,,Englemount-Lawrence,43.71771,-79.43063,Entire home/apt,129,30,0,,,1,363
37005990,Toronto Condo near Airport,169664485,Ivy,,Pelmo Park-Humberlea,43.73182,-79.5327,Entire home/apt,103,28,0,,,2,75
37006676,"1 bedroom apartment, right by Kensington Market",37629606,Danielle,,Kensington-Chinatown,43.65706,-79.39927,Entire home/apt,161,2,3,2019-11-07,0.32,1,0
37007936,Perfect Apartment In the Heart of Toronto!,80944804,Jesse,,Moss Park,43.6521,-79.36614,Entire home/apt,171,4,4,2020-03-03,0.62,1,0
37009617,LANDMARK TOWER - OVERLOOKING THE LAKE,203813250,Sheekha,,Mimico (includes Humber Bay Shores),43.62226,-79.47941,Entire home/apt,129,3,1,2019-07-23,0.10,16,0
37009846,Cosy Room,89663107,Adrian,,Corso Italia-Davenport,43.68346,-79.4467,Private room,51,1,8,2019-12-30,0.84,4,179
37010984,89 Ave.Rd. Downtown Toronto - Std. King Room,271599133,Tim,,Annex,43.67121,-79.39509,Private room,110,1,0,,,3,51
37012265,1Bedroom+Den-Waterfront-Enjoy Toronto resort style,278255975,Thabo,,Mimico (includes Humber Bay Shores),43.62293,-79.47849,Entire home/apt,100,2,9,2019-12-14,1.03,2,155
37012409,Cute condo in the heart of downtown!,70419754,Kritika,,Waterfront Communities-The Island,43.63744,-79.39893,Entire home/apt,200,1,0,,,1,179
37012438,CN Tower view near College Subway 1BR,278268861,Julia,,Church-Yonge Corridor,43.66198,-79.38053,Entire home/apt,94,1,24,2019-12-22,2.63,1,30
37013731,En-Suite Bedroom 10min walk to Finch subway /2E,257177064,Yong Jun,,Willowdale East,43.78011,-79.40859,Private room,45,1,12,2020-05-03,1.37,4,70
37013927,Private Bedroom 10 min walk to Finch subway 102-2C,257177064,Yong Jun,,Willowdale East,43.78115,-79.40748,Private room,45,1,6,2020-02-29,0.67,4,66
37014121,Charming Guest Suite w/ Free Parking,278285044,Magaret,,Tam O'Shanter-Sullivan,43.77779,-79.31431,Entire home/apt,82,1,15,2020-03-18,1.69,1,341
37015634,Studio apartment at the heart of city center,183166964,Moon,,Annex,43.6726,-79.39584,Entire home/apt,125,7,0,,,1,172
37016301,Downtown basement appartment for long term.,52873585,Dimitri,,Moss Park,43.65693,-79.3737,Entire home/apt,90,60,0,,,3,0
37016511,MODERN WATERFRONT CONDO IN HEART OF DOWNTOWN,278305230,Summer,,Niagara,43.63713,-79.4066,Entire home/apt,269,2,21,2020-01-27,2.26,1,0
37016543,Spacious Modern 2 BR/2 B Exec.  Suite with Parking,278305727,Tasha,,Waterfront Communities-The Island,43.64094,-79.39733,Entire home/apt,122,3,30,2020-03-05,3.10,1,0
37019732,"Private Room in Luxury condo, A/C, parking",278348942,Tamara,,Bay Street Corridor,43.66028,-79.38373,Private room,100,14,15,2020-02-29,1.57,4,348
37019848,Modern condo with stunning view.,151799820,Igor,,Mimico (includes Humber Bay Shores),43.62238,-79.47808,Entire home/apt,239,2,2,2019-09-02,0.22,1,90
37021080,New 2-bedroom basement apartment in Cabbagetown,8084681,Nik,,Cabbagetown-South St.James Town,43.66302,-79.36637,Entire home/apt,125,1,54,2020-02-29,5.66,3,0
37025524,Toronto Luxurious 3 Bedroom Downtown sleeps 8,32977187,Shehzad,,Waterfront Communities-The Island,43.63837,-79.39802,Entire home/apt,420,1,20,2020-03-03,2.10,10,13
37040303,Trendy Toronto Home on Harbour Front Near CN Tower,26440699,Jordan,,Waterfront Communities-The Island,43.63888,-79.38995,Entire home/apt,149,1,2,2019-11-29,0.22,1,0
37043871,Brand New/ 1Bedroom plus Den Condo,92049152,Kavitha,,Henry Farm,43.77306,-79.34347,Entire home/apt,149,2,13,2020-03-03,1.40,1,89
